	only1nabil	TorontoStar	AcadieSon	ElDiabloZoe	RyersonU	TetraRyerson	sageryerson	sweetiepiecat	mathryerson	TheCatTweeting	CatsRuleNews	AndreasKalo	
abolishing	0.004089377162950696	0.002405575166290522	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0039016303220992953	
aboriginal	0.004498314879245766	0.0021048782705042064	0.003074709380490858	0.0	0.048993420863512	0.0	0.0	0.0	0.049573416293111294	0.0	0.0	0.0029262227415744716	
aboriginalthemed	0.0038889056727493946	0.005719119646854806	0.0048732990686935875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006956929971229488	
abort	0.003240754727291162	0.004765933039045671	0.0038986392549548703	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00618393775220399	
aborted	0.012963018909164648	0.009531866078091342	0.013645237392342047	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013140867723433479	
abortion	0.027870490654703994	0.025259445106942058	0.026315814970945376	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03014669654199445	
abraham	0.007129660400040556	0.007625492862473073	0.0068226186961710235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006956929971229488	
abramovich	0.0	0.0	0.0	0.0	0.0011593371391269971	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
abrewin	0.003240754727291162	0.005242526342950238	0.0019493196274774352	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0023189766570764964	
abroad	0.019220072665868275	0.015936935476674706	0.016603430654650635	0.0	0.0012935556663633532	0.0	0.0	0.0	0.0017094281480383206	0.0	0.0	0.016581928868922007	
abrupt	0.023981584981954598	0.01477439242104158	0.010721257951125893	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025508743227841458	
abs	0.0038889056727493946	0.010485052685900475	0.011695917764864611	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008502914409280485	
absence	0.004089377162950696	0.002405575166290522	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.754075805248238E-4	
absolute	0.003240754727291162	0.0038127464312365366	0.0058479588824323055	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007729922190254987	
absolutely	0.007313840550025468	0.0058456046261010745	0.007172751949372818	0.0	0.0	0.0	0.0	0.007621973685562618	0.0	0.007711934322496615	0.002426869415001965	0.007205601105568827	
absorb	0.007777811345498789	0.0038127464312365366	0.0068226186961710235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007729922190254987	
absorption	0.0	0.0	0.0	0.0	0.020050112828631974	0.0	0.5747847421697951	0.0	0.017094281480383205	0.0	0.0	0.0	
abstract	0.0	0.0	0.0	0.0	0.9543854276701867	0.9281582597582655	0.4555061311629018	0.0	0.9564109678482369	0.0	0.0	0.0	
absurd	0.022685283091038132	0.019063732156182685	0.017543876647296917	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02473575100881596	
absurdly	0.007129660400040556	0.01000845938199591	0.0058479588824323055	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0023189766570764964	
abt	0.0	0.0	0.0	0.0	0.02263722416135868	0.14640066552614878	0.0	0.0	0.02735085036861313	0.0	0.0	0.0	
abu	0.005185207563665859	0.006195712950759372	0.0058479588824323055	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003091968876101995	
abundanceand	0.0	0.0	0.0	0.0	0.025914394898620918	0.0	0.0	0.0	0.022094038301781357	0.0	0.0	0.0	
abundant	0.005185207563665859	0.005242526342950238	0.011695917764864611	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01236787550440798	
abuse	0.0038889056727493946	0.0033361531273319697	0.0038986392549548703	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0023189766570764964	
abused	0.006481509454582324	0.004289339735141104	0.0029239794412161528	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015459844380509974	
abuses	0.0012963018909164647	0.002859559823427403	9.746598137387176E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004637953314152993	
abusive	0.010370415127331717	0.01000845938199591	0.009746598137387175	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009275906628305986	
abuzz	0.0	0.0	0.0	0.0	0.00869502854345248	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
abwc	0.0019444528363746973	0.0014297799117137014	9.746598137387176E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.729922190254987E-4	
aby	0.002114177323506604	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012606960092879105	
abyss	0.01361116985462288	0.01477439242104158	0.010721257951125893	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01236787550440798	
ac	0.0016357508651802786	0.0021048782705042064	0.0012298837521963434	0.0	0.0	0.0	0.0	0.004170989515380664	0.0	0.005109022545550608	0.0	0.0039016303220992953	
aca	0.015555622690997578	0.01477439242104158	0.007797278509909741	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014686852161484475	
academic	0.0	0.0	0.0	0.0	0.017136938561991253	0.0	0.0	0.0	0.013256422981068815	0.0	0.0	0.0	
