only1nabil	TorontoStar	AcadieSon	ElDiabloZoe	RyersonU	TetraRyerson	sageryerson	sweetiepiecat	mathryerson	TheCatTweeting	CatsRuleNews	AndreasKalo
0.001226813	0.001503484	6.15E-04	0	0	0	0	4.17E-04	0	3.01E-04	0	4.88E-04
0.001271972	7.01E-04	4.78E-04	0	0	0	0	1.62E-04	0	7.01E-04	0.002426869	0.001516969
0	7.77E-04	0.001589602	0	0	0	0	0	0	0	0	0
0.002592604	0.005242526	0.003898639	0	0	0	0	0	0	0	0	0.004637953
0	0	0.002204544	0	0	0	0	0	0	0	0	0
0.001296302	0.00142978	9.75E-04	0	0	0	0	0	0	0	0	0.003864961
0.002592604	0.00142978	0.00194932	0	0	0	0	0	0	0	0	7.73E-04
0	7.77E-04	0	0	0	0	0	0	0	0	0	0.001260696
0.003497924	0.005144132	0.004303651	0	0.001005879	0	0	0.00454075	0	0.003038035	0	0.005688632
0.004537057	0.010008459	0.006822619	0	0	0	0	0	0	0	0	0.00695693
0.005833359	0.006195713	0.002923979	0	0	0	0	0	0	0	0	0.002318977
8.18E-04	0.002405575	0.001229884	0	0	0	0	0	0	0	0	0
0.001296302	4.77E-04	0.004873299	0	0	0	0	0	0	0	0	0.005410946
0.001033005	7.60E-04	0.003106771	0	0.001633805	0	0	0	0	0	0	0.003079933
0	0	0	0	0.004597715	0	0	0	0.013256423	0	0	0
0.009074113	0.010485053	0.005847959	0	0	0	0	0	0	0	0	0.009275907
0.002453626	0.001202788	0.001229884	0	0	0	0	0	0	0	0	0
0.005833359	0.008102086	0.008771938	0	0	0	0	0	0	0	0	0.003864961
0.005833359	0.00428934	0.002923979	0	0	0	0	0	0	0	0	0.003091969
0	0	0.003179203	0	0	0	0	0	0	0	0	0.001260696
0.044983149	0.047209413	0.039971222	0	0	0	0	2.09E-04	0	3.01E-04	0	0.039504007
0.005833359	0.006672306	0.009746598	0	0	0	0	0	0	0	0	0.007729922
0.002592604	0.003336153	0.004873299	0	0	0	0	0	0	0	0	0.004637953
0.002592604	0.002382967	0.004873299	0	0	0	0	0	0	0	0	7.73E-04
0.001635751	6.01E-04	0	0	0	0	0	0	0	0	0	9.75E-04
0.003240755	0.003812746	0.006822619	0	0	0	0	0	0	0	0	0.006183938
0.002592604	0.002382967	0.00194932	0	0	0	0	0	0	0	0	0.003091969
0.006481509	0.002382967	9.75E-04	0	0	0	0	0	0	0	0	0.003091969
0	0	0	0	0.002898343	0	0	0	0	0	0	0
6.48E-04	4.77E-04	9.75E-04	0	0	0	0	0	0	0	0	7.73E-04
0	0.002331871	0.006358407	0	0	0	0	0	0	0	0	0
8.18E-04	6.01E-04	0	0	0.003072195	0.073200333	0	0	0.001709428	0	0	4.88E-04
0	0	0	0	0.015047068	0	0	0	0.008837615	0	0	0
0.001296302	0.00428934	0.00194932	0	0	0	0	0	0	0	0	0.001545984
0	0.003006969	0.003689651	0	0	0	0	0	0	0	0	9.75E-04
8.18E-04	0.001202788	0.001229884	0	0	0	0	0	0	0	0	0
0.004398079	0	0	0	0	0	0	0	0	0	0	0
0.003240755	0.003336153	0.002923979	0	0	0	0	0	0	0	0	0.00695693
0	0	0	0	0.008777456	0	0	0	0.004418808	0	0	0
0.002932053	0	0	0	0	0	0	0	0	0	0	0
0.002592604	0.00571912	0.004873299	0	0	0	0	0	0	0	0	0.003864961
6.48E-04	9.53E-04	9.75E-04	0	0	0	0	0	0	0	0	0.001545984
0	0.00155458	0	0	0	0	0	0	0	0	0	0.002521392
0.009074113	0.006195713	0.013645237	0	0	0	0	0	0	0	0	0.007729922
0.005185208	0.0071489	0.007797279	0	0	0	0	0	0	0	0	0.008502914
0.004537057	0.00285956	0.003898639	0	0	0	0	0	0	0	0	0.005410946
0.002592604	0.003812746	9.75E-04	0	0	0	0	0	0	0	0	0.002318977
0.00206601	0.001519162	0	0	0.001633805	0	0	0	0.002159067	0	0	0.001231973
0.001944453	0.002382967	0.00194932	0	0	0	0	0	0	0	0	7.73E-04
0.001296302	0.002382967	0.00194932	0	0	0	0	0	0	0	0	0.001545984
0.002044689	0.001503484	0.003074709	0	0	0	0	6.26E-04	0	3.01E-04	0	0.002438519
0.015555623	0.012391426	0.013645237	0	0	0	0	0	0	0	0	0.02087079
0.001466026	0	0	0	0	0	0	0	0	0	0	0
0.001635751	0.001202788	0.001229884	0	0	0	0	0	0	0	0	0
0.002044689	9.02E-04	0	0	0	0	0	0.011053122	0	0.013523883	0.003120944	4.88E-04
0.002392132	0.001407171	0.001438872	0	4.73E-04	0	0	8.54E-04	1.00E-03	7.03E-04	0	0.001426442
9.57E-04	7.04E-04	0	0	0.011633979	0	0	0.001829904	0.009999514	0.00228539	0.001825635	0.001426442
0.002453626	0.001804181	0.002459768	0	0	0	0	0	0	0	0	0
0.011018566	0.017633952	0.011695918	0	0	0	0	0	0	0	0	0.010048899
0.002044689	3.01E-04	0.001229884	0	0	0	0	0.001251297	0	9.02E-04	0	0.002438519
0.005681526	0.004177696	0.003883464	0	8.17E-04	0	0	0	0	0	0	0.004311907
0.001549507	7.60E-04	7.77E-04	0	4.08E-04	0	0	0	0	0	0	0.00184796
0.001635751	0.002104878	6.15E-04	0	0	0	0	4.17E-04	0	0.001803184	0	4.88E-04
0	0	0	0	0.009274697	0	0	0	0	0	0	0
0.006951941	0.005111847	0.004304593	0	0.001940333	0	0	0	0.001709428	0	0	0.005852445
0.002862564	0.002104878	0	0	0	0	0	0.007090682	0	0.005109023	0.003120944	0.003413927
0	0	0	0	0	0	0	0.00528869	0	0.00285798	0.004946579	7.73E-04
0	0	0	0	0	0	0	0.007008203	0	0.006214886	0	0
0	0	0	0	0.003478011	0	0	0	0	0	0	0
