	jtimberlake	rbruch2010	vintagedrakgon	ProwrestlingNe5	
batch	0.0028324594170003794	0.0	0.0	0.0	
bathroom	0.0014162297085001897	0.0	0.04522487634856962	0.0	
battle	0.0	0.050032544098567694	0.0	0.0	
battled	0.0028324594170003794	0.0	0.0	0.0	
bayside	0.0014162297085001897	0.0	0.0	0.0	
bbcamerica	0.0014162297085001897	0.0	0.0	0.0	
bbe	0.0014162297085001897	0.0	0.0	0.0	
bbewe	0.0014162297085001897	0.0	0.0	0.0	
bbmas	0.011329837668001518	0.0	0.0	0.0	
bbq	0.004248689125500569	0.0	0.0	0.0	
bbqnyc	0.008497378251001138	0.0	0.0	0.0	
bbqs	0.0014162297085001897	0.0	0.0	0.0	
bc	0.0014162297085001897	0.0	0.0	0.0	
bday	0.0693952557165093	0.0	0.0	0.0	
beaches	0.0014162297085001897	0.0	0.0	0.0	
beachtime	0.0014162297085001897	0.0	0.0	0.0	
beacoup	0.0014162297085001897	0.0	0.0	0.0	
beanie	0.0014162297085001897	0.0	0.0	0.0	
beantown	0.0028324594170003794	0.0	0.0	0.0	
bears	0.0014162297085001897	0.0	0.0	0.0	
beast	0.0014162297085001897	0.0	0.0	0.0	
beastie	0.0014162297085001897	0.0	0.0	0.0	
beastmode	0.0028324594170003794	0.0	0.0	0.0	
beat	0.0021243445627502845	0.025016272049283847	0.0	0.0	
beating	0.0014162297085001897	0.0	0.0	0.0	
beauchamp	0.0014162297085001897	0.0	0.0	0.0	
beautiful	0.008497378251001138	0.050032544098567694	0.0	0.0	
beautifulfrankocean	0.0014162297085001897	0.0	0.0	0.0	
beautifully	7.081148542500948E-4	0.025016272049283847	0.0	0.0	
beautifulpinup	0.0	0.0	0.09044975269713924	0.0	
beauty	0.0014162297085001897	0.0	0.0	0.0	
becky	0.0014162297085001897	0.0	0.0	0.0	
beckykholland	0.0014162297085001897	0.0	0.0	0.0	
bednarik	0.0	0.050032544098567694	0.0	0.0	
bee	0.0014162297085001897	0.0	0.0	0.0	
beene	0.0014162297085001897	0.0	0.0	0.0	
beer	0.018410986210502467	0.0	0.0	0.0	
beerdrink	0.0014162297085001897	0.0	0.0	0.0	
beezwaxhed	0.0014162297085001897	0.0	0.0	0.0	
beforetheflood	0.0014162297085001897	0.0	0.0	0.0	
begging	0.0014162297085001897	0.0	0.0	0.0	
begun	0.0028324594170003794	0.0	0.0	0.0	
behindthescenes	0.004248689125500569	0.0	0.0	0.0	
beijings	0.0014162297085001897	0.0	0.0	0.0	
beleive	0.0014162297085001897	0.0	0.0	0.0	
believelast	0.0014162297085001897	0.0	0.0	0.0	
