	Nounnno	styleofthesix	AHKru	shawnaoh_	RyersonU	Simon_Pella	RowanMMolloy	MacSweeneyG	SallySan_x	ATMXO_	
blue	0.0	0.0	0.0	0.0	0.024301924112167715	0.0	0.0	0.0	0.09036328599977039	0.0	
blunt	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025742247101920013	
body	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025742247101920013	
boneleslies	0.0	0.0	0.0	0.0	0.017384096571678456	0.0	0.0	0.0	0.0	0.0	
boogers	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025742247101920013	
bothered	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12928063499035317	0.0	
bout	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025742247101920013	
box	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025742247101920013	
boy	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025742247101920013	
boys	0.0	0.0	0.0	0.22399152897267474	0.0	0.0	0.0	0.0	0.0	0.0	
break	0.0	0.0	0.0	0.15656335997726192	0.012150962056083858	0.0	0.0	0.0	0.0	0.0	
breathtaking	0.0	0.0	0.0	0.0	0.017384096571678456	0.0	0.0	0.0	0.0	0.0	
bring	0.0	0.0	0.0	0.0	0.017384096571678456	0.0	0.0	0.0	0.0	0.0	
brookfieldiie	0.0	0.0	0.0	0.0	0.017384096571678456	0.0	0.0	0.0	0.0	0.0	
brought	0.0	0.0	0.0	0.0	0.017384096571678456	0.0	0.0	0.0	0.0	0.0	
brow	0.0	0.0	0.2040112650985448	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
browgoals	0.0	0.0	0.2040112650985448	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
brown	0.0	0.0	0.0	0.0	0.017384096571678456	0.0	0.0	0.0	0.0	0.0	
bubble	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025742247101920013	
bubbling	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025742247101920013	
buildings	0.0	0.0	0.0	0.0	0.017384096571678456	0.0	0.0	0.0	0.0	0.0	
bunny	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12928063499035317	0.0	
bursary	0.0	0.0	0.0	0.0	0.017384096571678456	0.0	0.0	0.0	0.0	0.0	
burtynsky	0.0	0.0	0.0	0.0	0.017384096571678456	0.0	0.0	0.0	0.0	0.0	
bus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025742247101920013	
byeeeee	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025742247101920013	
cafe	0.0	0.0	0.0	0.0	0.017384096571678456	0.0	0.0	0.0	0.0	0.0	
campus	0.0	0.0	0.0	0.0	0.20860915886014147	0.0	0.0	0.0	0.0	0.0	
canada	0.0	0.0	0.14259775485052653	0.0	0.024301924112167715	0.0	0.0	0.0	0.0	0.0	
canadas	0.0	0.0	0.0	0.0	0.017384096571678456	0.0	0.0	0.0	0.0	0.0	
capital	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07458281817882327	0.0	0.0	
captainamericacivilwar	0.0	0.0	0.2040112650985448	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
car	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025742247101920013	
card	0.0	0.0	0.0	0.0	0.024301924112167715	0.0	0.0	0.0	0.0	0.017993058568447896	
cardio	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025742247101920013	
carlosudarbe	0.0	0.0	0.0	0.0	0.017384096571678456	0.0	0.0	0.0	0.0	0.0	
carmennirvana	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10296898840768005	
carpet	0.0	0.0	0.0	0.0	0.017384096571678456	0.0	0.0	0.0	0.0	0.0	
carrying	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025742247101920013	
catch	0.0	0.0	0.0	0.0	0.05215228971503537	0.0	0.0	0.0	0.0	0.0	
catmackinnon	0.0	0.0	0.0	0.0	0.017384096571678456	0.0	0.0	0.0	0.0	0.0	
cbc	0.0	0.0	0.0	0.0	0.017384096571678456	0.0	0.0	0.0	0.0	0.0	
celebrate	0.0	0.0	0.0	0.0	0.08692048285839227	0.0	0.0	0.0	0.0	0.0	
