	TorontoStar	only1nabil	AcadieSon	AndreasKalo	RyersonU	sageryerson	TetraRyerson	mathryerson	CatsRuleNews	TheCatTweeting	sweetiepiecat	ElDiabloZoe	
accidental	0.0	0.0052929083454719235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
accidentally	0.0010038570401371013	0.0	0.0036807402759476454	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0045369390578912	0.0	
accidents	0.0	0.0052929083454719235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0045369390578912	0.0	
acclaim	0.0010038570401371013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
acclaimed	0.0	0.0052929083454719235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
accomplish	0.0010038570401371013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
accomplished	0.0	0.0052929083454719235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
accomplishment	0.0	0.0052929083454719235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
accord	0.0	0.0052929083454719235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
account	0.0	0.013232270863679809	0.0	0.009399198224724278	0.003713134305363044	0.0	0.0	0.0	0.008262760583096614	0.0012178985455351893	9.414999204838383E-4	0.0	
accountability	5.019285200685506E-4	0.0	0.007361480551895291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
accountable	5.019285200685506E-4	0.0	0.0036807402759476454	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
accountant	0.0020077140802742025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
accounting	0.0	0.0	0.0036807402759476454	0.0023497995561810696	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
accounts	0.0	0.0010983777218083947	0.0045829357188726955	0.001950509863207856	0.001856567152681522	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
accumulated	0.0	0.0	0.007361480551895291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
accuracy	0.0	0.0026464541727359617	0.0036807402759476454	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
accurate	0.0	0.0052929083454719235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
accusation	0.0	0.0	0.0	0.004699599112362139	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
accusations	0.0010038570401371013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
accuse	0.0	0.0	0.029445922207581163	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0045369390578912	0.0	
accused	0.0027081490512177683	0.0	0.001527645239624232	9.75254931603928E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
accuseds	0.0	0.0	0.0	0.004699599112362139	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
