sweetiepiecat	TheCatTweeting	only1nabil	CatsRuleNews	AndreasKalo	sageryerson	AcadieSon	mathryerson	TorontoStar	TetraRyerson	ElDiabloZoe	RyersonU
0.001889497	0	0	0	0	0	0	0	0.006086694	0	0	0
0	0	0	0	0.013402342	0	0	0	0	0	0	0
0	0	0.011096953	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0.006086694	0	0	0.00201661
0	0	0.016003073	0	0	0	0	0	0	0	0	0.00201661
0	0.019611049	0	0	0	0	0	0	0	0	0	0
0.001461915	0	0.006190834	0	0	0	0	0	0.023546547	0	0	0
0	0	0.008001536	0	0	0	0	0	0.006086694	0	0	0
0.00115854	0.008670321	0	0	0	0	0.006768417	0	0	0	0	0.001236479
0.001461915	0	0	0	0.007476978	0	0	0	0.009418619	0	0	0
0	0	0.006190834	0	0.007476978	0	0.008540791	0	0	0	0	0
0	0	0	0	0	0	0.015309207	0	0	0	0	0
0.001889497	0	0	0	0	0	0.011038812	0	0	0	0	0
0	0	0.016003073	0	0	0	0	0	0	0	0	0.004033221
0.001889497	0	0	0	0	0	0	0	0	0	0	0.00201661
0.00115854	0.008670321	0	0	0	0	0.006768417	0	0.003732039	0	0	0
0	0	0	0.077170963	0	0	0	0	0	0	0	0
0.001461915	0	0.006190834	0	0.007476978	0	0	0	0	0	0	0
0.002923829	0	0	0	0	0	0.008540791	0	0	0	0	0.003120526
0	0	0	0	0.013402342	0	0	0	0	0	0	0
0	0	0.016003073	0	0.009663853	0	0	0	0	0	0	0
0.001889497	0	0	0	0	0	0	0	0	0	0	0.00201661
7.31E-04	0	0.003095417	0	0.007476978	0	0.004270395	0	0.007063964	0	0	7.80E-04
0	0.008670321	0.004906119	0	0	0	0	0	0.003732039	0	0	0.001236479
0	0	0.006190834	0	0.007476978	0	0.017081582	0	0	0	0	0
0	0.010940727	0.012381667	0	0	0	0	0	0.014127928	0	0	0
9.23E-04	0.006909258	0.003909618	0	0	0	0	0	0.00297401	0	0	0.001970666
0	0	0	0	0	0	0	0	0	0	0	0.002796742
0	0	0.012381667	0	0.007476978	0	0	0	0	0	0	0.003120526
